"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjMwNDQ4MzEwNTAzNDE=","1177703544","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-1/97311438_10221573725670641_8834455472527376384_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=100&ccb=1-7&_nc_sid=e99d92&_nc_ohc=atjBYBIHIXkQ7kNvgEg2Q9Z&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A6-BkwFVHNiN4zcPHWz-a6W&oh=00_AYDUQ1t1QVXRJzncqkTqQKc7iGMsQ_oOwyoe6JiLX-0tWA&oe=67C1B518","Mario López Muñoz","I really hate those moai statues with their unrealistic representation of the male body, making all the other ones feel bad. WE WANT MOAI STATUES WITH CURVES","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1123044831050341","90","0","12","04/13/2016 06:24:35 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjI0MTUyNzQ0NDY2MzA=","100005036807776","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/463191414_2808945509283315_5365351713072535695_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=fT8bmGqhscoQ7kNvgFXRTyZ&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A6-BkwFVHNiN4zcPHWz-a6W&oh=00_AYDZ9pHLw88cP0SnpsKxeMouh5GSTfW7v-fPCUjK6W3dmw&oe=67A01302","Adrian Bandi","The statues actually have bodies, as you see from the pictures following the first one, but the arms are more stylized (simplified). The first picture with crossed arms is a hoax. Why do some small minds think they are cute when they spread wrong information? Maybe it's the only way they can get some attention...","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1122415274446630","493","0","37","04/12/2016 07:37:43 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjIwODczOTQ0Nzk0MTg=","509801487","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/467836649_10161601611341488_3401208204987941847_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=yYIzAmydUiIQ7kNvgEav-hg&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A6-BkwFVHNiN4zcPHWz-a6W&oh=00_AYDMeOgFRvC24D4gvxfE43ntxz-VtLlmKM6kN_0ZZyYopA&oe=67A02E14","Maarten van der Werf","Isn't the grass green today? yeah, it's green. Very green. Greener than yesterday? No, not that green. Nice weather isn't it? Blablablabla.....","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1122087394479418","67","0","1","04/12/2016 08:43:58 AM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjM1NDY2MzEwMDAxNjE=","1079749954","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/467396448_10230909056924823_4064294530692330589_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nvBcSy9nevwQ7kNvgEcss_d&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A6-BkwFVHNiN4zcPHWz-a6W&oh=00_AYAvqloxTt5Tq5b2RpfUHo_PGo-c0CCi72sFurbBbpkrHw&oe=67A0127B","Dave Dibben","Did read somewhere that ancient hieroglyphs of some sort are on the back at the bottom of the statue. What's the betting they find out, when translated, it say's 'Made in China'? :)","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1123546631000161","30","0","0","04/14/2016 10:31:05 AM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjM3MTM1NjQzMTY4MDE=","100001990436887","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/419726361_7012147622194849_384902773994799633_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=A7Cxs4irwJQQ7kNvgFb27Uz&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A6-BkwFVHNiN4zcPHWz-a6W&oh=00_AYB_WiO5V2__YWRgzu6RDSnVvQXKQ1dEW4w0bJ--tf0qHg&oe=67A00D2E","Rexx Snyder","Lol so fake. I've seen multiple documentaries on Easter Island. And even watched ppl attempt to move them the way their creators did with rope.","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1123713564316801","29","0","2","04/14/2016 04:58:08 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjMyNTg4NTQzNjIyNzI=","100007982673085","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=z9R636rB8hAQ7kNvgGQHmTv&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A6-BkwFVHNiN4zcPHWz-a6W&oh=00_AYCp0tXGui2s0Ej9tP8lgBlg90tRkzxeIibgZUYKOQN-4Q&oe=67C1B1FA","Rafael Perez Carattini","Parece increible que estas esculturas tan enormes fueron construidas hace miles de años sin contar con maquinaria y adelantos algunos para lograr estas maravillas.","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1123258854362272","19","0","0","04/13/2016 10:42:20 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjIzOTI1NjQ0NDg5MDE=","657602319","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/459386237_10161690380747320_4343099012628832141_n.jpg?stp=c94.0.562.562a_cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=5LzXUQKmIf8Q7kNvgHW1oeQ&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYAoFsxJxaCAYBZQxQcbA5zDX0CLSZRVpjVlFGmGueOdGA&oe=67A01F78","Bistra Ilkova Ilieva","Its real.I think ,no one talked about it ,because its"" Easter ""Islands ,and the ""heads"" hold their cocks .Very likely there is a religious politics behind it .","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1122392564448901","10","0","0","04/12/2016 07:02:06 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjMwNzMzODEwNDc0ODY=","100000248371328","https://scontent.fnap3-2.fna.fbcdn.net/v/t1.6435-1/89996380_3164604776891104_1881956649363570688_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=j1wqPotcTBQQ7kNvgFitAXA&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYDenYlVNBRNXdTH8iSlkOKu188QDSDL1ne9f_w-805eDg&oe=67C1B6BE","Dawn Thornton-Luty","I love this picture, it's as if they are saying ""What took you dummy's so long to figure this out"". lol","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1123073381047486","4","0","0","04/13/2016 07:02:24 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjIxODM3Njc4MDMxMTQ=","100005752389717","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/335834962_2603621126447376_8106460631893356995_n.jpg?stp=cp0_dst-jpg_p64x64_tt6&_nc_cat=100&ccb=1-7&_nc_sid=e99d92&_nc_ohc=Ta9CuryVMdMQ7kNvgFxZIWq&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYCIqRVBawKenZ-mFgIBiE8phKQZMWss8R-GFRaWrQTLqg&oe=67A01AA0","Tyrone Ketley","EVERYONE this IS IT EHAT IT LOOKS LIKE ITS. :)

https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/462120848_2606810872853967_84591487318582726_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=phPlQ8_SSOsQ7kNvgFQqSBc&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYClKqvZxPVAQY69SJltMw4cfP87Pm3IFRXZTtnPR5hc9Q&oe=67A00079","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1122183767803114","25","0","5","04/12/2016 12:58:39 PM"
"Y29tbWVudDoxMTIxODE4NDY3ODM5NjQ0XzExMjE4Njk5NzExNjc4Mjc=","100000878521261","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-1/100099103_3106691932703394_7847098355816595456_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=6zcfUJefpNMQ7kNvgHpZx-o&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYCwPQUJrKpAFLRMkKvYcowG82S7oNKvfXU9FQKhijIq0g&oe=67C1C1CB","Jeffrey Harragin Hill","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/464722824_8890366694335860_8563890557972106582_n.jpg?stp=dst-jpg_p370x247_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=YiXX3g-mlBYQ7kNvgGstuvJ&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYC61b8B4Q7omn6_2r_etw7mQ2WAMHhf6-HIqI9WzEY0nw&oe=67A00626","https://www.facebook.com/photo/?fbid=1121818467839644&set=a.1121818384506319&comment_id=1121869971167827","1211","0","57","04/11/2016 11:46:11 PM"
