"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfMTUwNDMyMTM0MzQ1OTY5MQ==","61556008905486","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/427710024_2147273332280656_3375221648811769430_n.jpg?stp=c199.0.625.625a_cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EiXcq1rv_OcQ7kNvgHqItYk&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYCmxn_SL32_NNcw81NbcRJC08pnlV5SbfO-tLtXdieZUw&oe=67A03424","Alien Encounters Hub","Read more:https://hoan2.caphemoingay.com/posts/discovery-of-two-giant-crystal-pyramids-at-the-bottom-of-bermuda-triangle-admin-1710738119360","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=1504321343459691","40","0","13","03/19/2024 08:26:14 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfNDQ1NDgyMDUxMjU2NDQ4","100002630654334","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/241435014_4327993813964931_2181738585972298700_n.jpg?stp=c0.0.720.720a_cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=1d2534&_nc_ohc=vbTXhYRxeoAQ7kNvgFBlIM6&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYAWhNZttkZzPstKCtc1kdL4qLqQxXP0LXEeMeTxZ2CyMA&oe=67A020A1","Rolly Rodriguez","Simple mind conditioning for the conspiracy plan in the future","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=445482051256448","36","0","17","03/22/2024 04:16:06 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfNjk4Njc2MzQ1NTQ3MjI2","100004818611043","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/471387603_2500710150099581_8085534414244029832_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=8xaORTC8UGAQ7kNvgF9RUfR&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYBsqQbjSbQnMTMRFPxK_uPVq8wPJhHDGDFZtGxlQ2ugzQ&oe=67A01645","Alex Johnson","Jade Johnson makes sense","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=698676345547226","0","0","0","03/24/2024 03:09:18 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfMzg4MzY3NDg3NDI0MTY4","710710943","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/365277559_10160944847580944_4710478204347491311_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=c_-0g06-3WMQ7kNvgEHO-4r&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYBa5DD-E4yzCP-HD20SfzZVQPqdDQNBN-NwRcQCVuKttg&oe=67A02B04","Stam Biza","The Bermuda Triangle is the main grid that connects to all of the other Pyramids across the Planet...","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=388367487424168","21","0","13","03/23/2024 12:17:25 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfOTM2ODEzMjM3OTUzNDg1","100000208586024","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/475258820_10014867971863389_3769040595050427482_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=e7W831fUa2cQ7kNvgHRNGWI&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYBnOu09xtt0Hqqe_zg593gghirzVclIUfyFjhceTLQpkQ&oe=67A01BB1","D.j. Lavish","They have known about this for a very long long time","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=936813237953485","18","0","2","03/23/2024 07:35:57 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfMTgwMDY0NTAxMDQ0MzA3NQ==","100079669361127","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/349605753_2135161566673944_4614662713643868473_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=VrX-XySjRUEQ7kNvgGhU9v8&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYCnMasLdHIrHiqZFIWKnXlq_ivxOXXA4K3cQiizyHH4gw&oe=67A0078E","Nicholas Robertson","I find this extremely fascinating.  Very interesting 👌","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=1800645010443075","9","0","1","03/24/2024 02:32:12 PM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfOTA1NTU4NjExMzE1ODYy","701252482","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/448733478_10159737226492483_5029502210867879804_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=103&ccb=1-7&_nc_sid=e99d92&_nc_ohc=T-AXYhxr3ZQQ7kNvgF0Y277&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYA7-pxIt6LDKlwZvcmZG35tdTZ-u63RSj9Ilr_CphcjWQ&oe=67A03A03","Antarean Galaxis Gaoss","The Bermuda triangle stopped existing............","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=905558611315862","0","0","0","03/23/2024 06:14:33 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfMzY4MTcxMjEyODY1MjUy","100001269819602","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/386513907_6881429735242619_2446466586428671898_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=8KS8IYC6FvoQ7kNvgElUrGU&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYDgLjg0BsSxouJS3l6_h9SUDEPLpphBBiIqQrUVJwlkHw&oe=67A00BFF","Bobby Plairacruz","Interesting","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=368171212865252","1","0","0","03/24/2024 04:23:30 AM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfNjQ5OTY3OTc3MjQyMjU1","100002272194719","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/458757522_8180091468743178_5987158351498683128_n.jpg?stp=c19.228.471.471a_cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=bNQPbyXHkqgQ7kNvgFOdy1y&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYDzr26O4_HF6dPrnilCDJUcXeyXQks9g2p2hHB9AVEe2A&oe=67A02D8F","Karl Wloka","how about Oceangate could organize some trips down there ^^","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=649967977242255","1","0","0","03/22/2024 11:59:13 PM"
"Y29tbWVudDoxMjIxMzAyMjQzOTAyMDAyOTZfMjQ3OTAzMzExNjQ2MzU5","100002454381570","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/387819588_6912269402198137_6789292381432890298_n.jpg?stp=cp0_dst-jpg_p64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=SJ4R6jfwrmIQ7kNvgEpQbm7&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AWu50plO8Czu92LZXP-IKoK&oh=00_AYDZwSOLl9_zuRVQ1zF0GUhKCJ0ghRIm7vT-mOdue8sdqQ&oe=67A03A6A","Pamella Filha Laura","Meu Deus do Céu","https://www.facebook.com/permalink.php?story_fbid=pfbid02zdYqo6qGXArX5MWxpQ9pexCxxKnV1gmVf4PKj1i2xmx3foTCPLyYipnhQmU7ir5Ll&id=61556008905486&comment_id=247903311646359","0","0","0","03/22/2024 08:50:38 PM"
