"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzYzNjQzNzEyMDY0NTM1OQ==","100002139064863","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/471396964_8896014273813120_3573511069814070581_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=yLnDtQ67x3wQ7kNvgELcqBT&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ArM2a8tdZvE8PEQ4oki0NW-&oh=00_AYC682TzI_e0vucJbaTgsS5ZWAoAp4H8mDCjOVUcqwBaCw&oe=67A02199","Piotr Trzepacz","Now I can say that with my body shape I am commemorating the heritage of Easter Island. Thank you <3","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=636437120645359","136","0","2","07/10/2022 11:30:04 AM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzU5MzIzNDA2MjIxNzM4Mg==","100000851861251","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/462235329_8688362554535387_5939540609925750119_n.jpg?stp=c412.0.1224.1224a_cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=QPDz7otOM_YQ7kNvgEE4KtG&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ArM2a8tdZvE8PEQ4oki0NW-&oh=00_AYB6rjBlMQsnGiffWAUp-YnNenrFCnu5ocBivxqhA34oZA&oe=67A0374D","Chuck Wick","Keep digging, he’s sitting on a horse 🐎","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=593234062217382","270","0","12","07/10/2022 03:09:15 PM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzU2MzA3NDAwMjIxMjA0OA==","100051025368700","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/440602766_1007164787661024_4971961557465774582_n.jpg?stp=c0.0.720.720a_cp0_dst-jpg_s64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=X4O21y2OsNUQ7kNvgHdpZd1&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ArM2a8tdZvE8PEQ4oki0NW-&oh=00_AYBe9UtktnzSKhotmuTNCyem0wbT3614uN77rLGXSb8U8w&oe=67A01F0C","Olivia Montgomery","We just blindly assumed they were heads sitting on the earth? I’m disappointed in humanity that we never explored this further until now 😬🤦🏻‍♀️","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=563074002212048","50","0","11","07/11/2022 01:14:44 AM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzEwODY4ODEzNzE5MzQxNzE=","501767644","https://scontent.fnap3-2.fna.fbcdn.net/v/t1.6435-1/48426489_10156799474917645_4658695298770534400_n.jpg?stp=c16.0.928.929a_cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=GA_7FGlNJk8Q7kNvgEhNKd3&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ArM2a8tdZvE8PEQ4oki0NW-&oh=00_AYAlVmCOkgljYk_sOGCwQprqFzg2v7103Kz3i7I8Dq3XWw&oe=67C1BDDB","Dan Lee Henson","Kind of disappointing, less unique, lots of statues have bodies. 
They should have quit when they were a head.","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=1086881371934171","51","0","6","07/12/2022 12:30:57 AM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzU3OTUzMDUwNzAxNjQ3MQ==","1411727275","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/470201510_10235802869918155_4764292197033174403_n.jpg?stp=c0.174.1391.1391a_cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=n6alIlxXQmQQ7kNvgHhMlwF&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ArM2a8tdZvE8PEQ4oki0NW-&oh=00_AYCiJV3GJffnJ3otLkDa8vklaNzJkFnoY0QBTQ6Jokx0pQ&oe=67A012E6","Tina Smith-Johnson","I've noticed that things in the yard eventually become covered by dirt, leaves etc... during the erosion process. I wonder if these were actually buried, or if, over time, they were simply buried by the earth.","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=579530507016471","38","0","8","07/10/2022 04:56:26 PM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzU3MTQzODA4NDQ0OTgzMg==","692169387","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/459936933_10162151712774388_3857038144217235652_n.jpg?stp=cp6_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=KJRahKCiAv4Q7kNvgEJri3L&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ArM2a8tdZvE8PEQ4oki0NW-&oh=00_AYBYHTa1r9JrM_73RMr3NNgUZ4a7D8Au6xoRVzAEKJuAwg&oe=67A02830","Joanna A.A. Hoad","I listen to the ‘No such thing as a fish’ podcast and first learned about these not so body-less heads. If you have a penchant for facts and myth busting, listen to the podcast.","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=571438084449832","28","0","0","07/10/2022 01:36:27 PM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzU3MzE4NDYyNzUzMTUwMw==","100078301809023","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/342966811_479341424337287_4109582405990152978_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=U0LixMU5PHEQ7kNvgHAijOG&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AwW-dnWjd737XCRu84p0Gt_&oh=00_AYCVWpgDC1LtoxtuONwGgerddOk_rm5gTFzyxpNdKGBxiw&oe=67A02AB4","Brad Byers","That should tell ya a rough age. The sphinx was totally buried except for most of the head at one time as well. Nature buried these ancient statue's and tombs. These stories haven't been told truthfully","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=573184627531503","23","0","6","07/10/2022 02:37:10 AM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzczNDQ5NDM4MTIxOTA0Ng==","100000844051337","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/445011100_7790916867613038_7340800364256364302_n.jpg?stp=cp6_dst-jpg_s64x64_tt6&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=ix3menSrbMwQ7kNvgEW9fqB&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AwW-dnWjd737XCRu84p0Gt_&oh=00_AYCOHndVgQC59X8nJPUBbbo0MORBbVrk2R4ucWJv_VU2nQ&oe=67A012BC","Saundra Trom Jacquet","Perhaps a great flood buried them?? ...and swept away the people.","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=734494381219046","20","0","8","07/09/2022 09:12:52 PM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1Xzc0OTYwMzUzNjMxNDgxNw==","100002497027814","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/463026986_8545767808849702_4428229216421099306_n.jpg?stp=c0.258.1403.1403a_cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=XiGR9nPMi6UQ7kNvgEI6Jg2&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AwW-dnWjd737XCRu84p0Gt_&oh=00_AYDFyGSL5jxnZVEEvS8M3R0mtjJSt8fbO2YB36LCNJ_HEA&oe=67A02F6A","Konstantin Olegovich","on the other side of the globe there are also stone statues with a similar pose  https://photographers.ua/photo/drevnie-bogi-415606/","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=749603536314817","16","0","7","07/10/2022 06:45:55 PM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzEyNTI0NjkwOTg2MjQ5MTI=","100001439102208","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/471323326_9172810472776832_6024048592335373234_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=S0P9B1-W0n4Q7kNvgF1EZUh&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AwW-dnWjd737XCRu84p0Gt_&oh=00_AYBxVTZfP-9O6S-jeve3tOhnZGhgsPEMQQst1qAYo5VkzQ&oe=67A03B48","Judit Csörsz Nagy","I cannot beleive that this was really the first occasion to check it...","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=1252469098624912","17","0","5","07/10/2022 02:37:47 PM"
"Y29tbWVudDoyMjcyOTQyMzQyODYyNTI1XzIxMjcwNjQ1MTA4MDc4NDk=","100006692441057","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/462710783_3985880011645041_7801685643047338441_n.jpg?stp=cp6_dst-jpg_s64x64_tt6&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_ohc=DVkF4n5rm6oQ7kNvgH5Z05E&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AwW-dnWjd737XCRu84p0Gt_&oh=00_AYDkKrI7A_y_vPEunGdKcSTi5gd3DkKStaFsrORObXBmJA&oe=67A00CC4","Rick Cox","I've read that given the average rate of overburden deposition, it would be impossible to bury the statues to that depth in the amount of time it is estimated to have happened. Meaning what? Meaning these statues are waaay older than is estimated.","https://www.facebook.com/archpng/posts/pfbid08Gj69yM2huBC9dRjBRbDHS3ojzwAPGGhcWhUjH43Bm9Dq1EhGdzUE11AAat1XN2ml?comment_id=2127064510807849","13","0","3","07/10/2022 06:36:09 AM"
