"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyODg1MzM5NDI0NTc4","100001466558419","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/472956318_9047300318662097_3874213751702850177_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=T6zh66EnzzAQ7kNvgHySp8c&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYANRTCNCqFQu4S9-eNwAhjJEQT8IkR3g4VufCeuT8ekbg&oe=67A038B9","Khonbamon Terang Dili","soon they will find statue of Modi too.. lol","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972885339424578","84","0","8","10/17/2015 01:08:27 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyODgwMzA5NDI1MDgx","638097783","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/468862570_10164384772752784_1566138681030128726_n.jpg?stp=c0.0.487.487a_cp0_dst-jpg_s64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=ylOQkatfmW4Q7kNvgG0Iudt&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYAectFQywaUyxdsbDyaBBAWDIyStO6FNpELOV5eQagKzg&oe=67A037F2","Eli Thiem Neo","Why all those strange pictures are capture from a far distance? Why can't it be taken from close range to make sure that what they believe are real? Now i'm not sure all these findings since it appears blurr and it seems only speculation about what it'd be....Untill a clear and fine close range pictures are shown, i won't believe all these theories and bullshit!..","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972880309425081","91","0","8","10/17/2015 12:47:18 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyODc3NzE2MDkyMDA3","100002137749035","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/462991279_8592065370874636_5652541518078127702_n.jpg?stp=c8.0.324.325a_cp0_dst-jpg_s64x64_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_ohc=UestL79bv6YQ7kNvgEve1IZ&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYANO6OX4DNYwdggDSbdQ8_l7ULwA3F2XNqIyWaCxy-VQQ&oe=67A00918","Jeewan D Dahal","What if (Hindu, Buddhist, Muslim, Christian, antithesis, scientists, psychology) Share same truth...?  Mankind is blind nowdays just like 7 brother argument for a elephant look. Being concerned about other people is especially relevant in today's world. If we consider the complex inter-connected ness of our modern lives, how we depend on others and others depend on us, our outlook will change. We’ll begin to see 'others' not as somehow distant from us, but as people we are in touch with, people close to us; we will no longer feel indifferent to them.","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972877716092007","18","0","0","10/17/2015 12:39:17 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyODc4NzY5NDI1MjM1","100002981416883","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/471131173_8573349092774386_3720829456279875804_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=PcB5-MBzn5cQ7kNvgEFgMhs&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYB4x95oJhwhjqtGtDBQEExt_X5k7_KjaX4D3_8T3CGvYg&oe=67A029B0","J Nambu Riamei","Every shape which look like an animal or human figure doesn't mean that life was and is exist there. For me it's looks like King Kong figure!!","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972878769425235","15","0","0","10/17/2015 12:42:10 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyOTUxMjM2MDg0NjU1","100000662672743","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-1/108453716_3365579350140788_821823009336439044_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=107&ccb=1-7&_nc_sid=e99d92&_nc_ohc=54-TqwvzYLYQ7kNvgFD4mnt&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYDO82ZHlSoe9-RlTGBEWCyICcSWCgaaedpKminQJjHAFA&oe=67C1DAFE","Biondi Chandam","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/464969608_8961682433863757_7613597871330312245_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=9xSGSjgh8cgQ7kNvgHfzumy&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYCbFvDpeHwrDKRKvS7C6-9yrG4X6CizyUOMztB9YED6Ig&oe=67A038F1","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972951236084655","31","0","0","10/17/2015 04:46:48 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyOTc4Nzc5NDE1MjM0","100001406423946","https://scontent.fnap3-2.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=110&ccb=1-7&_nc_sid=136b72&_nc_ohc=z9R636rB8hAQ7kNvgGQHmTv&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYClYhD-xf0I_0fgivoyDmmSPh7IYWSNjmm-XZnrLqtzrQ&oe=67C1B1FA","Talendrajit Nongthombam","What's the conspiracy theory again..?
Did Gautama Buddha visited mars to spread Buddhism ...?","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972978779415234","4","0","0","10/17/2015 06:09:31 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTczMTMwMzI2MDY2NzQ2","100008229968429","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/449155584_3871110676506560_5561741405634491264_n.jpg?stp=c0.0.720.720a_cp0_dst-jpg_s64x64_tt6&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_ohc=8rKqhYdRzlEQ7kNvgHh9R2m&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A-2wYjmfxPxcDPdS3DmPedV&oh=00_AYBpuevcrAVgreDdRC4RZ1Pzq8Z3ksi8JbhE9Dh45K9GVg&oe=67A00E22","Changmah Manzu Dewan","Gautama Buddha was the greatest teacher ever the world have. According to the Buddha, we have 33 Lokho Bumis (33 world) in the universe but the scientist found 9, so its possbl to hav a buddha statue in mars by buddha's super enliphtenment power.","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=973130326066746","11","0","0","10/18/2015 03:28:37 AM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyOTg3MDg5NDE0NDAz","100002365876916","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/328986487_2350413558502421_4243954765199810284_n.jpg?stp=c0.291.1080.1079a_cp0_dst-jpg_s64x64_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=5HdTiLsQVZ8Q7kNvgHmw73g&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=A-2wYjmfxPxcDPdS3DmPedV&oh=00_AYAw2VeLSifyGakfvjPH_KPq-dQ_gDdBUdzKCVZH1LxHTg&oe=67A00B16","Krishna Kumar Limboo","Mars will soon claim that Lord #GautamBuddha was born on Mars as India does unashamedly from time to time.","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972987089414403","3","0","0","10/17/2015 06:36:44 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTcyOTczMzgyNzQ5MTA3","100003881061636","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/475175615_3269984559807547_5979741203597265693_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=103&ccb=1-7&_nc_sid=e99d92&_nc_ohc=XtUTle0mh3MQ7kNvgEfQd9C&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A-2wYjmfxPxcDPdS3DmPedV&oh=00_AYBt2jmQD8KzOIw31j_SAg_pJu5yhISaI4QHak7Vt2mBlg&oe=67A03065","Alx Karung","aliens are buddhist.....!","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=972973382749107","4","0","0","10/17/2015 05:48:52 PM"
"Y29tbWVudDo5NzI4NzQ2Njk0MjU2NDVfOTczMjUzMjc2MDU0NDUx","100009465545921","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-1/186474499_3014794248846064_132297204891642874_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=MTk0BgT23_IQ7kNvgExp90p&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A-2wYjmfxPxcDPdS3DmPedV&oh=00_AYAcdJyFORq5jEF0zvwcssC9dMv4n8C5G62IGQeoeeYVFw&oe=67C1C0B9","Thangkan Sangma","Those statue might be taken and place by the NASA' s Buddhist astronauts","https://www.facebook.com/photo/?fbid=972874669425645&set=a.168848183161635&comment_id=973253276054451","0","0","0","10/18/2015 11:21:55 AM"
